id,name,icon,quality,difficulty,requires_lead,repeatable,reward_id,zone_id,set_id,set_name,set_icon,set_quality,set_reward_id,set_count,category_id,category_order,category_name,category_icon,category_count
548,Admiral's Carved Trestle Base,/esoui/art/icons/housing_gen_crf_tmpfragmentdesk001,5,4,True,True,0,1383,39,Shipbuilders Crafting Station,/esoui/art/icons/housing_gen_crf_shipwoodworkingstation001,5,4027,3,50,15,Galen,/esoui/art/icons/icon_missing,39
344,Aetherquartz Prayer Beads,/esoui/art/icons/justice_stolen_beads_001,5,4,True,True,0,381,16,Pearls of Ehlnofey,/esoui/art/icons/antiquities_ornate_necklace_3,6,2546,5,16,1,Auridon,/esoui/art/icons/icon_missing,14
67,Aetherquartz Tonal Resonator,/esoui/art/icons/quest_vvardenfell_dwarven_tonal_prism,5,4,True,False,0,888,6,Ebon Dwarven Wolf,/esoui/art/icons/mounticon_dwarven_ebon_wolf,5,458,17,26,4,Craglorn,/esoui/art/treeicons/antiquities_tabicon_craglorn_up,10
172,Akaviri Lord's Banner,/esoui/art/icons/justice_stolen_banner_001,3,2,True,True,2220,103,0,,,-1,-1,-1,12,6,The Rift,/esoui/art/icons/icon_missing,10
310,Al-Esh Ascension Coin,/esoui/art/icons/item_coin_of_illusory_riches,5,5,True,True,2361,1160,0,,,-1,-1,-1,37,10,Western Skyrim,/esoui/art/icons/icon_missing,16
100,Aldmeri Golden Embellishments,/esoui/art/icons/quest_goldenseal001,4,3,True,True,0,381,7,Dreams and Memories Music Box,/esoui/art/icons/housing_uni_inc_musicboxaldmerisymphonia001,5,2166,3,16,1,Auridon,/esoui/art/icons/icon_missing,14
451,Alessian Sacramental Oil,/esoui/art/icons/quest_dun_inc_glassbottles001,5,4,True,True,0,1286,25,Belharza's Band,/esoui/art/icons/mythic_ring_belharzas_band,6,3548,5,48,13,The Deadlands,/esoui/art/icons/icon_missing,40
63,Aligned Dwarven Plates,/esoui/art/icons/crafting_metals_dwarven_scrap,4,3,True,False,0,101,6,Ebon Dwarven Wolf,/esoui/art/icons/mounticon_dwarven_ebon_wolf,5,458,17,13,6,Eastmarch,/esoui/art/icons/icon_missing,10
102,Alinor Allemande,/esoui/art/icons/emote_alinorallemande,5,4,True,False,2167,1011,0,,,-1,-1,-1,33,5,Summerset,/esoui/art/icons/icon_missing,9
519,All Flags Armada Scabbard,/esoui/art/icons/u36_allflagsarmadascabbard,4,3,True,False,3997,1383,0,,,-1,-1,-1,50,15,Galen,/esoui/art/icons/icon_missing,39
813,All Flags Navy Astrolabe,/esoui/art/icons/justice_stolen_unique_shehai_essence_box,5,4,True,True,8803,823,0,,,-1,-1,-1,30,2,Gold Coast,/esoui/art/icons/icon_missing,15
308,Altar of Celestial Convergence,/esoui/art/icons/housing_uni_inc_antaltarcelestial001,5,4,True,True,2359,888,0,,,-1,-1,-1,26,4,Craglorn,/esoui/art/treeicons/antiquities_tabicon_craglorn_up,10
540,Amber Heart,/esoui/art/icons/u36_amberheart,5,4,True,False,0,1383,37,Barkroot Blessing,/esoui/art/icons/skin_forestspirit,5,4028,10,50,15,Galen,/esoui/art/icons/icon_missing,39
561,Ancestor Samite Sash,/esoui/art/icons/gear_telvanni_light_waist_a,5,4,True,True,0,1414,40,Cryptcanon Vestments,/esoui/art/icons/gear_dunmercryptpriest_chest_a,6,4199,5,51,16,Telvanni Peninsula,/esoui/art/icons/icon_missing,67
559,Ancestor Samite Stole,/esoui/art/icons/justice_stolen_unique_psijic_stole,5,4,True,True,0,1414,40,Cryptcanon Vestments,/esoui/art/icons/gear_dunmercryptpriest_chest_a,6,4199,5,51,16,Telvanni Peninsula,/esoui/art/icons/icon_missing,67
557,Ancestor Samite Undershirt,/esoui/art/icons/gear_dunmer_light_shirt_a,5,4,True,True,0,1414,40,Cryptcanon Vestments,/esoui/art/icons/gear_dunmercryptpriest_chest_a,6,4199,5,51,16,Telvanni Peninsula,/esoui/art/icons/icon_missing,67
