id,name,quality,difficulty,requires_lead,repeatable,reward_id,zone_id,set_id,set_name,set_reward_id,set_count,category_id,category_name
548,Admiral's Carved Trestle Base,5,4,1,1,0,1383,39,Shipbuilders Crafting Station,4027,3,50,Galen
344,Aetherquartz Prayer Beads,5,4,1,1,0,381,16,Pearls of Ehlnofey,2546,5,16,Auridon
67,Aetherquartz Tonal Resonator,5,4,1,0,0,888,6,Ebon Dwarven Wolf,458,17,26,Craglorn
172,Akaviri Lord's Banner,3,2,1,1,2220,103,0,,-1,-1,12,The Rift
310,Al-Esh Ascension Coin,5,5,1,1,2361,1160,0,,-1,-1,37,Western Skyrim
100,Aldmeri Golden Embellishments,4,3,1,1,0,381,7,Dreams and Memories Music Box,2166,3,16,Auridon
451,Alessian Sacramental Oil,5,4,1,1,0,1286,25,Belharza's Band,3548,5,48,The Deadlands
63,Aligned Dwarven Plates,4,3,1,0,0,101,6,Ebon Dwarven Wolf,458,17,13,Eastmarch
102,Alinor Allemande,5,4,1,0,2167,1011,0,,-1,-1,33,Summerset
519,All Flags Armada Scabbard,4,3,1,0,3997,1383,0,,-1,-1,50,Galen
813,All Flags Navy Astrolabe,5,4,1,1,8803,823,0,,-1,-1,30,Gold Coast
308,Altar of Celestial Convergence,5,4,1,1,2359,888,0,,-1,-1,26,Craglorn
540,Amber Heart,5,4,1,0,0,1383,37,Barkroot Blessing,4028,10,50,Galen
561,Ancestor Samite Sash,5,4,1,1,0,1414,40,Cryptcanon Vestments,4199,5,51,Telvanni Peninsula
559,Ancestor Samite Stole,5,4,1,1,0,1414,40,Cryptcanon Vestments,4199,5,51,Telvanni Peninsula
557,Ancestor Samite Undershirt,5,4,1,1,0,1414,40,Cryptcanon Vestments,4199,5,51,Telvanni Peninsula
567,Ancestor Silk Ribbon,5,4,1,1,0,1413,42,Torc of the Last Ayleid King,4202,5,52,Apocrypha
360,Ancestral Akaviri: Axes,2,1,1,1,2701,1261,0,,-1,-1,47,Blackwood
361,Ancestral Akaviri: Belts,2,1,1,1,2702,1261,0,,-1,-1,47,Blackwood
362,Ancestral Akaviri: Boots,2,1,1,1,2703,1261,0,,-1,-1,47,Blackwood
363,Ancestral Akaviri: Bows,2,1,1,1,2704,1261,0,,-1,-1,47,Blackwood
364,Ancestral Akaviri: Chests,4,3,1,1,2705,1261,0,,-1,-1,47,Blackwood
365,Ancestral Akaviri: Daggers,2,1,1,1,2706,1261,0,,-1,-1,47,Blackwood
366,Ancestral Akaviri: Gloves,2,1,1,1,2707,1261,0,,-1,-1,47,Blackwood
367,Ancestral Akaviri: Helmets,3,2,1,1,2708,1261,0,,-1,-1,47,Blackwood
368,Ancestral Akaviri: Legs,2,1,1,1,2709,1261,0,,-1,-1,47,Blackwood
369,Ancestral Akaviri: Maces,3,2,1,1,2710,1261,0,,-1,-1,47,Blackwood
370,Ancestral Akaviri: Shields,4,3,1,1,2711,1261,0,,-1,-1,47,Blackwood
371,Ancestral Akaviri: Shoulders,3,2,1,1,2712,1261,0,,-1,-1,47,Blackwood
372,Ancestral Akaviri: Staves,3,2,1,1,2713,1261,0,,-1,-1,47,Blackwood
373,Ancestral Akaviri: Swords,4,3,1,1,2714,1261,0,,-1,-1,47,Blackwood
485,Ancestral Breton: Axes,2,1,1,1,3742,1318,0,,-1,-1,49,High Isle
486,Ancestral Breton: Belts,2,1,1,1,3743,1318,0,,-1,-1,49,High Isle
487,Ancestral Breton: Boots,2,1,1,1,3744,1318,0,,-1,-1,49,High Isle
